Partida,Cód. Artículo,Descripción,Descripción depósito,Saldo stock sistema,Saldo stock fisico
12103771,IA3508/1M,"Impl ANATOMIC Ø3,5 x 8 CE",VENCIDO,0.0,0.0
1210378-2,IHS3510IM,"Impl HS  Ø3,5 x 10",VENCIDO,0.0,0.0
1210379-1,IA5010/2M,"Impl ANATOMIC Ø 5,0 x 10 CI",VENCIDO,0.0,0.0
12113801,IHS3511IM,"Impl HS  Ø3,5 x 11,5",VENCIDO,0.0,0.0
1211380-1,IHS3511IM,"Impl HS  Ø3,5 x 11,5",VENCIDO,0.0,0.0
1211382-1,IHS4311IM,"Impl HS  Ø4,3 x 11,5",VENCIDO,0.0,0.0
1211387-3,IA5008/1M,"Impl ANATOMIC Ø 5,1 x 8 CE",VENCIDO,0.0,0.0
12113961,IA3508/1M,"Impl ANATOMIC Ø3,5 x 8 CE",STOCK,0.0,0.0
12113961,IA3508/1M,"Impl ANATOMIC Ø3,5 x 8 CE",VENCIDO,0.0,0.0
12113971,IA4310/2M,"Impl ANATOMIC Ø4,3 x 10 CI",STOCK,0.0,0.0
12113971,IA4310/2M,"Impl ANATOMIC Ø4,3 x 10 CI",VENCIDO,0.0,0.0
1211397-1,IA4310/2M,"Impl ANATOMIC Ø4,3 x 10 CI",VENCIDO,0.0,0.0
1211397-2,IHS4311IM,"Impl HS  Ø4,3 x 11,5",VENCIDO,0.0,0.0
1211397-3,IHS4311IM,"Impl HS  Ø4,3 x 11,5",VENCIDO,0.0,0.0
1211405-3,IA4311/2M,"Impl ANATOMIC Ø4,3 x 11,5 CI",VENCIDO,0.0,0.0
12114054,IHS4313IM,"Impl HS  Ø4,3 x 13",VENCIDO,0.0,0.0
1211405-4,IHS4313IM,"Impl HS  Ø4,3 x 13",VENCIDO,0.0,0.0
12124241,IA4313/2M,"Impl ANATOMIC Ø4,3 x 13 CI",VENCIDO,0.0,0.0
1212424-1,IA4313/2M,"Impl ANATOMIC Ø4,3 x 13 CI",VENCIDO,0.0,0.0
12124251,IA4313/2M,"Impl ANATOMIC Ø4,3 x 13 CI",VENCIDO,0.0,0.0
1212425-1,IA4313/2M,"Impl ANATOMIC Ø4,3 x 13 CI",VENCIDO,0.0,0.0
12124261,IHS4313IM,"Impl HS  Ø4,3 x 13",STOCK,0.0,0.0
12124261,IHS4313IM,"Impl HS  Ø4,3 x 13",VENCIDO,0.0,0.0
1212426-1,IHS4313IM,"Impl HS  Ø4,3 x 13",VENCIDO,0.0,0.0
12124271,IA4311/2M,"Impl ANATOMIC Ø4,3 x 11,5 CI",STOCK,0.0,0.0
12124271,IA4311/2M,"Impl ANATOMIC Ø4,3 x 11,5 CI",VENCIDO,0.0,0.0
1212427-1,IA4311/2M,"Impl ANATOMIC Ø4,3 x 11,5 CI",VENCIDO,0.0,0.0
12124301,IA3513/2M,"Impl ANATOMIC Ø3,5 x 13 CI",STOCK,0.0,0.0
12124341,IA3516/2M,"Impl ANATOMIC Ø3,5 x 16 CI",STOCK,0.0,0.0
12124341,IA3516/2M,"Impl ANATOMIC Ø3,5 x 16 CI",VENCIDO,0.0,0.0
1212434-1,IA3516/2M,"Impl ANATOMIC Ø3,5 x 16 CI",VENCIDO,0.0,0.0
1212437-2,IHS3515IM,"Impl HS  Ø3,5 x 15",VENCIDO,0.0,0.0
12124451,IA3513/1M,"Impl ANATOMIC Ø3,5 x 13 CE",VENCIDO,0.0,0.0
1212445-1,IA3513/1M,"Impl ANATOMIC Ø3,5 x 13 CE",VENCIDO,0.0,0.0
1212445-2,IA4316/1M,"Impl ANATOMIC Ø4,3 x 16 CE",VENCIDO,0.0,0.0
1212449-1,IA4310/1M,"Impl ANATOMIC Ø4,3 x 10 CE",VENCIDO,0.0,0.0
1212452-1,IA4310/1M,"Impl ANATOMIC Ø4,3 x 10 CE",VENCIDO,0.0,0.0
1212453-1,IA3508/1M,"Impl ANATOMIC Ø3,5 x 8 CE",VENCIDO,0.0,0.0
12124551,IA4316/1M,"Impl ANATOMIC Ø4,3 x 16 CE",VENCIDO,0.0,0.0
1212455-1,IA4316/1M,"Impl ANATOMIC Ø4,3 x 16 CE",STOCK,0.0,0.0
1212455-1,IA4316/1M,"Impl ANATOMIC Ø4,3 x 16 CE",VENCIDO,0.0,0.0
1212456-1,IA3516/1M,"Impl ANATOMIC Ø3,5 x 16 CE",VENCIDO,0.0,0.0
1301001-1,IHS4308IM,"Impl HS  Ø4,3 x 8,5",VENCIDO,0.0,0.0
1301001-3,IHS4313IM,"Impl HS  Ø4,3 x 13",VENCIDO,0.0,0.0
13010021,IHS4308IM,"Impl HS  Ø4,3 x 8,5",STOCK,0.0,0.0
1301002-1,IHS4308IM,"Impl HS  Ø4,3 x 8,5",VENCIDO,0.0,0.0
13010201,IA4310/1M,"Impl ANATOMIC Ø4,3 x 10 CE",STOCK,0.0,0.0
13010201,IA4310/1M,"Impl ANATOMIC Ø4,3 x 10 CE",VENCIDO,0.0,0.0
1301020-1,IA4310/1M,"Impl ANATOMIC Ø4,3 x 10 CE",VENCIDO,0.0,0.0
1301021-1,IHS4313IM,"Impl HS  Ø4,3 x 13",VENCIDO,0.0,0.0
1301022-1,IA3510/1M,"Impl ANATOMIC Ø3,5 x 10 CE",VENCIDO,0.0,0.0
13010271,IA3513/1M,"Impl ANATOMIC Ø3,5 x 13 CE",VENCIDO,0.0,0.0
1301027-1,IA3513/1M,"Impl ANATOMIC Ø3,5 x 13 CE",VENCIDO,0.0,0.0
1301031,IA4310/1M,"Impl ANATOMIC Ø4,3 x 10 CE",VENCIDO,0.0,0.0
1301048-1,IA4313/1M,"Impl ANATOMIC Ø4,3 x 13 CE",VENCIDO,0.0,0.0
13010492,IA5010/1M,"Impl ANATOMIC Ø 5,1 x 10 CE",VENCIDO,0.0,0.0
1301049-2,IA5010/1M,"Impl ANATOMIC Ø 5,1 x 10 CE",VENCIDO,0.0,0.0
13010501,IA5011/2M,"Impl ANATOMIC Ø 5,0 x 11,5 CI",STOCK,0.0,0.0
13010501,IA5011/2M,"Impl ANATOMIC Ø 5,0 x 11,5 CI",VENCIDO,0.0,0.0
1301050-1,IS4015/1M,Impl RAPID Ø4 x 15,VENCIDO,0.0,0.0
13010502,IA5010/2M,"Impl ANATOMIC Ø 5,0 x 10 CI",STOCK,0.0,0.0
13010502,IA5010/2M,"Impl ANATOMIC Ø 5,0 x 10 CI",VENCIDO,0.0,0.0
1301050-2,IA5010/2M,"Impl ANATOMIC Ø 5,0 x 10 CI",VENCIDO,0.0,0.0
13010511,IA4313/1M,"Impl ANATOMIC Ø4,3 x 13 CE",STOCK,0.0,0.0
13010511,IA4313/1M,"Impl ANATOMIC Ø4,3 x 13 CE",VENCIDO,0.0,0.0
1301051-1,IA4313/1M,"Impl ANATOMIC Ø4,3 x 13 CE",VENCIDO,0.0,0.0
1302-00014,IA5010/1M,"Impl ANATOMIC Ø 5,1 x 10 CE",VENCIDO,0.0,0.0
1302-00029,IS3313/1M,"Impl RAPID Ø3,3 x 13",VENCIDO,0.0,0.0
13020671,IA4308/2M,"Impl ANATOMIC Ø4,3 x 8 CI",VENCIDO,0.0,0.0
1302067-1,IA4308/2M,"Impl ANATOMIC Ø4,3 x 8 CI",VENCIDO,0.0,0.0
13020672,IA4310/2M,"Impl ANATOMIC Ø4,3 x 10 CI",STOCK,0.0,0.0
13020672,IA4310/2M,"Impl ANATOMIC Ø4,3 x 10 CI",VENCIDO,0.0,0.0
1303-00021,IS3708/1M,"Impl RAPID Ø3,75 x 8,5",VENCIDO,0.0,0.0
1303-00022,IS3707/1M,"Impl RAPID Ø3,75 x 7",VENCIDO,0.0,0.0
1303-00023,IS3710/1M,"Impl RAPID Ø3,75 x 10",VENCIDO,0.0,0.0
1303-00024,IS3715/1M,"Impl RAPID Ø3,75 x 15",VENCIDO,0.0,0.0
1303-00027,IS4008/1M,"Impl RAPID Ø4 x 8,5",VENCIDO,0.0,0.0
1303-00028,IS3315/1M,"Impl RAPID Ø3,3 x 15",VENCIDO,0.0,0.0
1303-00044,IS3713/1M,"Impl RAPID Ø3,75 x 13",VENCIDO,0.0,0.0
1303-00045,IS3711/1M,"Impl RAPID Ø3,75 x 11,5",VENCIDO,0.0,0.0
1303100-2,IHS3513IM,"Impl HS  Ø3,5 x 13",VENCIDO,0.0,0.0
13031003,IA5010/2M,"Impl ANATOMIC Ø 5,0 x 10 CI",VENCIDO,0.0,0.0
1303101-1,IA3510/1M,"Impl ANATOMIC Ø3,5 x 10 CE",VENCIDO,0.0,0.0
1303103-1,IA4310/1M,"Impl ANATOMIC Ø4,3 x 10 CE",VENCIDO,0.0,0.0
1304-00043,IA4311/2M,"Impl ANATOMIC Ø4,3 x 11,5 CI",VENCIDO,0.0,0.0
1304-00044,IHS5010IM,Impl HS  Ø5 x 10,STOCK,0.0,0.0
1304-00044,IHS5010IM,Impl HS  Ø5 x 10,VENCIDO,0.0,0.0
1304-00046,IA4310/2M,"Impl ANATOMIC Ø4,3 x 10 CI",VENCIDO,0.0,0.0
1304-00050,IHS3513IM,"Impl HS  Ø3,5 x 13",VENCIDO,0.0,0.0
1304118-2,IHS5015IM,Impl HS  Ø5 x 15,VENCIDO,0.0,0.0
1304119-1,IA4313/1M,"Impl ANATOMIC Ø4,3 x 13 CE",VENCIDO,0.0,0.0
1304119-2,IA4316/1M,"Impl ANATOMIC Ø4,3 x 16 CE",VENCIDO,0.0,0.0
13041201,IA5013/2M,"Impl ANATOMIC Ø 5,0 x 13 CI",STOCK,0.0,0.0
13041201,IA5013/2M,"Impl ANATOMIC Ø 5,0 x 13 CI",VENCIDO,0.0,0.0
1304120-1,IA5013/2M,"Impl ANATOMIC Ø 5,0 x 13 CI",VENCIDO,0.0,0.0
1304121-3,IHS5011IM,"Impl HS  Ø5 x 11,5",VENCIDO,0.0,0.0
1304122-1,IS4015/1M,Impl RAPID Ø4 x 15,VENCIDO,0.0,0.0
13041223,IS4013/1M,Impl RAPID Ø4 x 13,STOCK,0.0,0.0
13041223,IS4013/1M,Impl RAPID Ø4 x 13,VENCIDO,0.0,0.0
1304123-1,IS3708/1M,"Impl RAPID Ø3,75 x 8,5",VENCIDO,0.0,0.0
